disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6
Dengue Fever,fever,headache,joint pain,rash,,
Dengue Fever,fever,muscle pain,joint pain,fatigue,,
Dengue Fever,fever,headache,eye pain,nausea,,
Dengue Fever,fever,rash,headache,fatigue,,
Dengue Fever,fever,headache,mild bleeding,,,
Dengue Fever,fever,nausea,vomiting,abdominal pain,,
Dengue Fever,fever,eye pain,headache,muscle pain,,
Dengue Fever,fever,rash,muscle pain,joint pain,,
Dengue Fever,fever,headache,joint pain,fatigue,,
Dengue Fever,fever,headache,rash,loss of appetite,,
Dengue Fever,fever,eye pain,rash,muscle pain,,
Dengue Fever,fever,headache,nausea,fatigue,,
Dengue Fever,fever,headache,joint pain,eye pain,,
Dengue Fever,fever,muscle pain,eye pain,rash,,
Dengue Fever,fever,headache,abdominal pain,,,
Dengue Fever,fever,headache,muscle pain,fatigue,,
Malaria,fever,chills,headache,sweats,,
Malaria,fever,chills,nausea,vomiting,,
Malaria,fever,headache,muscle pain,fatigue,,
Malaria,fever,chills,sweats,fatigue,,
Malaria,fever,headache,abdominal pain,diarrhea,,
Malaria,fever,chills,headache,cough,,
Malaria,fever,headache,nausea,,,
Malaria,fever,chills,headache,vomiting,,
Malaria,fever,headache,diarrhea,,,
Malaria,fever,headache,muscle pain,,,
Malaria,fever,chills,abdominal pain,,,
Malaria,fever,headache,fatigue,,,
Malaria,fever,chills,headache,fatigue,,
Malaria,fever,chills,headache,loss of appetite,,
Malaria,fever,chills,muscle pain,fatigue,,
Malaria,fever,headache,vomiting,diarrhea,,
Malaria,fever,headache,chills,night sweats,,
Malaria,fever,chills,headache,sweating,,
Malaria,fever,headache,nausea,fatigue,,
Malaria,fever,chills,headache,,,
Typhoid Fever,fever,abdominal pain,headache,fatigue,,
Typhoid Fever,fever,abdominal pain,constipation,,,
Typhoid Fever,fever,abdominal pain,diarrhea,,,
Typhoid Fever,fever,headache,loss of appetite,,,
Typhoid Fever,fever,cough,headache,,,
Typhoid Fever,fever,abdominal pain,loss of appetite,,,
Typhoid Fever,fever,headache,fatigue,constipation,,
Typhoid Fever,fever,headache,fatigue,diarrhea,,
Typhoid Fever,fever,abdominal pain,headache,rash,,
Typhoid Fever,fever,abdominal pain,cough,,,
Typhoid Fever,fever,headache,fatigue,,,
Typhoid Fever,fever,loss of appetite,abdominal pain,,,
Typhoid Fever,fever,headache,rash,fatigue,,
Typhoid Fever,fever,abdominal pain,headache,,,
Typhoid Fever,fever,headache,diarrhea,,,
Typhoid Fever,fever,headache,constipation,,,
Typhoid Fever,fever,abdominal pain,headache,loss of appetite,,
Typhoid Fever,fever,headache,fatigue,loss of appetite,,
Typhoid Fever,fever,abdominal pain,fatigue,,,
Typhoid Fever,fever,headache,abdominal pain,,,
Allergic Rhinitis,sneezing,itchy nose,runny nose,stuffy nose,itchy red watery eyes,
Allergic Rhinitis,runny nose,sneezing,postnasal drip,itchy roof of mouth,,
Allergic Rhinitis,stuffy nose,loss of smell,itchy eyes,watery eyes,,
Allergic Rhinitis,itchy eyes,red eyes,watery eyes,sneezing,,
Allergic Rhinitis,runny nose,itchy throat,cough,postnasal drip,,
Allergic Rhinitis,sneezing,itchy nose,itchy throat,ear fullness,,
Allergic Rhinitis,stuffy nose,snoring,poor sleep,headache,,
Allergic Rhinitis,watery eyes,itchy nose,sneezing,nasal congestion,,
Allergic Rhinitis,runny nose,sneezing,itchy mouth,postnasal drip,,
Allergic Rhinitis,itchy eyes,red watery eyes,sneezing,congestion,,
Allergic Rhinitis,runny nose,stuffy nose,itchy roof of mouth,sore throat,,
Allergic Rhinitis,sneezing,itchy nose,headache,facial pressure,,
Allergic Rhinitis,itchy nose,runny nose,scratchy throat,cough,,
Allergic Rhinitis,watery eyes,itchy eyes,sneezing,postnasal drip,,
Allergic Rhinitis,stuffy nose,loss of smell,headache,poor sleep,,
Allergic Rhinitis,itchy throat,itchy roof of mouth,runny nose,sneezing,,
Allergic Rhinitis,red watery eyes,sneezing,stuffy nose,congestion,,
Allergic Rhinitis,postnasal drip,cough,throat clearing,hoarse voice,,
Allergic Rhinitis,itchy nose,runny nose,watery eyes,ear fullness,,
Allergic Rhinitis,sneezing,stuffy nose,itchy eyes,fatigue,,
Seasonal Allergies,sneezing,runny nose,itchy eyes,stuffy nose,,
Seasonal Allergies,itchy throat,postnasal drip,watery eyes,sneezing,,
Seasonal Allergies,runny nose,stuffy nose,sore throat,headache,,
Seasonal Allergies,itchy eyes,red eyes,watery eyes,congestion,,
Seasonal Allergies,sneezing,runny nose,eye itching,postnasal drip,,
Seasonal Allergies,stuffy nose,loss of smell,nasal congestion,sneezing,,
Seasonal Allergies,runny nose,itchy roof of mouth,sore throat,cough,,
Seasonal Allergies,sneezing,watery eyes,fatigue,poor sleep,,
Seasonal Allergies,itchy eyes,headache,facial pressure,stuffy nose,,
Seasonal Allergies,runny nose,sneezing,itchy nose,ear popping,,
Seasonal Allergies,postnasal drip,cough,hoarse voice,itchy throat,,
Seasonal Allergies,stuffy nose,sneezing,watery eyes,runny nose,,
Seasonal Allergies,itchy eyes,congestion,headache,throat clearing,,
Seasonal Allergies,sneezing,eye watering,nasal congestion,sore throat,,
Seasonal Allergies,runny nose,itchy nose,postnasal drip,loss of smell,,
Seasonal Allergies,itchy throat,sneezing,stuffy nose,cough,,
Seasonal Allergies,watery eyes,itchy eyes,sneezing,facial pressure,,
Seasonal Allergies,runny nose,headache,fatigue,poor sleep,,
Seasonal Allergies,sneezing,itchy eyes,itchy roof of mouth,postnasal drip,,
Seasonal Allergies,stuffy nose,runny nose,eye irritation,throat clearing,,
Acute Respiratory Distress,severe shortness of breath,rapid breathing,low oxygen levels,,,
Acute Respiratory Distress,severe shortness of breath,labored breathing,cough,,,
Acute Respiratory Distress,rapid breathing,low oxygen levels,confusion,,,
Acute Respiratory Distress,breathing difficulty,chest discomfort,fast heart rate,,,
Acute Respiratory Distress,shortness of breath,low oxygen levels,bluish lips or face,,,
Acute Respiratory Distress,severe shortness of breath,rapid breathing,extreme tiredness,,,
Acute Respiratory Distress,labored breathing,cough,chest pain,,,
Acute Respiratory Distress,low oxygen levels,confusion,fast heart rate,,,
Acute Respiratory Distress,severe shortness of breath,fever,cough,,,
Acute Respiratory Distress,breathing difficulty,rapid heartbeat,low oxygen levels,,,
Acute Respiratory Distress,rapid breathing,low oxygen levels,restlessness,,,
Acute Respiratory Distress,shortness of breath,chest discomfort,confusion,,,
Acute Respiratory Distress,labored breathing,fast heart rate,low oxygen levels,,,
Acute Respiratory Distress,severe shortness of breath,bluish fingernails or lips,confusion,,,
Acute Respiratory Distress,breathing difficulty,cough,fever,,,
Acute Respiratory Distress,rapid breathing,extreme tiredness,low oxygen levels,,,
Acute Respiratory Distress,shortness of breath,labored breathing,poor oxygen saturation,,,
Acute Respiratory Distress,breathing difficulty,chest pain,fast heart rate,,,
Acute Respiratory Distress,rapid breathing,confusion,low oxygen levels,,,
Acute Respiratory Distress,severe shortness of breath,restlessness,low oxygen levels,,,
Whooping Cough (Pertussis),runny nose,low fever,mild cough,,,
Whooping Cough (Pertussis),cough that gets worse,paroxysmal coughing fits,,,,
Whooping Cough (Pertussis),severe coughing fits,whooping sound,vomiting after cough,,,
Whooping Cough (Pertussis),coughing spells,whooping sound,exhaustion after coughing,,,
Whooping Cough (Pertussis),runny nose,mild fever,paroxysmal cough,,,
Whooping Cough (Pertussis),severe cough,breathing difficulty,whooping sound,,,
Whooping Cough (Pertussis),persistent cough,post-cough vomiting,low-grade fever,,,
Whooping Cough (Pertussis),paroxysmal cough,bluish skin or lips,apnea in infants,,,
Whooping Cough (Pertussis),severe coughing fits,posttussive vomiting,exhaustion,,,
Whooping Cough (Pertussis),prolonged coughing fits,whooping sound,breathing difficulty,,,
Whooping Cough (Pertussis),cough at night,paroxysmal cough,whoop,,,
Whooping Cough (Pertussis),runny nose,cough,low-grade fever,exhaustion,,
Whooping Cough (Pertussis),persistent cough,posttussive gagging,vomiting,,,
Whooping Cough (Pertussis),paroxysmal cough,whooping sound,red face after coughing,,,
Whooping Cough (Pertussis),coughing fits,breathlessness,poor feeding in infants,,,
Whooping Cough (Pertussis),prolonged cough,posttussive vomiting,apnea,,,
Whooping Cough (Pertussis),cough that lasts for weeks,whoop,exhaustion,,,
Whooping Cough (Pertussis),runny nose,paroxysmal cough,loss of appetite,,,
Whooping Cough (Pertussis),persistent cough,breathing difficulty,bluish lips,,,
Whooping Cough (Pertussis),paroxysmal cough,whooping sound,posttussive vomiting,apnea,,
Tonsillitis,sore throat,difficulty swallowing,fever,red swollen tonsils,,
Tonsillitis,sore throat,white patches on tonsils,bad breath,,,
Tonsillitis,fever,sore throat,swollen neck glands,difficulty swallowing,,
Tonsillitis,sore throat,earache,headache,fever,,
Tonsillitis,red swollen tonsils,white spots,difficulty swallowing,,,
Tonsillitis,sore throat,hoarse voice,bad breath,,,
Tonsillitis,sore throat,fever,nausea and vomiting,,,
Tonsillitis,sore throat,difficulty swallowing,stomachache,fever,,
Tonsillitis,red tonsils,white coating,swollen neck glands,headache,,
Tonsillitis,sore throat,bad breath,difficulty eating,,,
Tonsillitis,painful swallowing,fever,red swollen tonsils,hoarse voice,,
Tonsillitis,white or yellow patches on tonsils,fever,difficulty swallowing,,,
Tonsillitis,sore throat,enlarged tender glands in neck,fever,,,
Tonsillitis,sore throat,loss of voice,headache,ear pain,,
Tonsillitis,fever,sore throat,bad breath,white spots on tonsils,,
Tonsillitis,difficulty swallowing,red swollen tonsils,throat pain,,,
Tonsillitis,sore throat,fever,drooling in children,difficulty opening mouth,,
Tonsillitis,sore throat,white patches on tonsils,neck stiffness,headache,,
Tonsillitis,sore throat,fever,earache,bad breath,,
Tonsillitis,red swollen tonsils,white spots,fever,difficulty swallowing,,
Chickenpox,itchy rash,red spots,fever,tiredness,,
Chickenpox,blister-like rash,itching,loss of appetite,headache,,
Chickenpox,small red bumps,fever,fatigue,,,
Chickenpox,fluid-filled blisters,itchy skin,fever,,,
Chickenpox,itchy rash,scabs,low fever,,,
Chickenpox,rash on face,chest,back,itching,,
Chickenpox,red spots,blisters,loss of appetite,headache,,
Chickenpox,itchy rash,spread over body,fatigue,,,
Chickenpox,blister rash,fever,malaise,,,
Chickenpox,itchy rash,headache,fatigue,loss of appetite,,
Chickenpox,fever,rash on torso,itchy skin,,,
Chickenpox,itchy blisters,scabbing,rash spreading,,,
Chickenpox,rash,itching,low grade fever,,,
Chickenpox,blister-like rash,scabs,fatigue,,,
Chickenpox,itchy rash,red bumps,loss of appetite,,,
Chickenpox,fluid-filled blisters,itching,fever,headache,,
Chickenpox,fever,red rash,itchy skin,fatigue,,
Chickenpox,itchy rash,small blisters,scabs,headache,,
Chickenpox,loss of appetite,fever,itchy rash,red spots,,
Chickenpox,itchy rash,blisters,scabs,tiredness,,
Measles,high fever,cough,runny nose,red watery eyes,,
Measles,fever,Koplik spots,sore throat,,,
Measles,runny nose,cough,conjunctivitis,fever,,
Measles,red blotchy rash,fever,cough,,,
Measles,red watery eyes,photophobia,runny nose,fever,,
Measles,Koplik spots inside mouth,fever,cough,,,
Measles,high fever,runny nose,conjunctivitis,,,
Measles,cough,fever,red rash starting on face,,,
Measles,fever,sore throat,loss of appetite,,,
Measles,runny nose,watery eyes,headache,,,
Measles,high fever,red blotchy rash,irritability,,,
Measles,cough,runny nose,eye redness,fever,,
Measles,red watery eyes,runny nose,Koplik spots,,,
Measles,fever,cough,body aches,loss of appetite,,
Measles,high fever,headache,sore throat,red rash,,
Measles,red blotchy rash,itching,runny nose,,,
Measles,cough,conjunctivitis,fever,body aches,,
Measles,runny nose,red watery eyes,headache,fever,,
Measles,fever,Koplik spots,red blotchy rash,,,
Measles,high fever,irritability,cough,loss of appetite,,
Mumps,swollen salivary glands,pain when chewing,fever,,,
Mumps,parotid swelling,headache,fatigue,,,
Mumps,swollen cheeks,jaw pain,loss of appetite,,,
Mumps,fever,headache,muscle aches,fatigue,,
Mumps,painful swelling near jaw,fever,,,,
Mumps,parotid gland swelling,pain chewing,earache,,,
Mumps,swollen salivary glands,loss of appetite,fever,,,
Mumps,fever,fatigue,swollen jaw,headache,,
Mumps,painful jaw,swollen cheeks,difficulty swallowing,,,
Mumps,parotid swelling,fever,body aches,,,
Mumps,fever,headache,loss of appetite,malaise,,
Mumps,swollen cheeks,ear pain,fatigue,,,
Mumps,jaw swelling,pain while eating,fever,,,
Mumps,parotid gland swelling,loss of appetite,headache,,,
Mumps,swollen salivary glands,fever,chills,fatigue,,
Mumps,painful swollen glands,fever,loss of appetite,,,
Mumps,swollen jaw,pain when chewing,fever,headache,,
Mumps,fever,fatigue,loss of appetite,swelling near ear,,
Mumps,parotid swelling,earache,malaise,,,
Mumps,swollen cheeks,headache,fatigue,fever,,
Tuberculosis,chronic cough,coughing blood,chest pain,fever,,
Tuberculosis,night sweats,weight loss,fatigue,cough,,
Tuberculosis,persistent cough,loss of appetite,fever,,,
Tuberculosis,cough with phlegm,chest pain,night sweats,,,
Tuberculosis,coughing blood,weight loss,fever,,,
Tuberculosis,chronic cough,fever,night sweats,fatigue,,
Tuberculosis,chest pain,cough,loss of appetite,,,
Tuberculosis,night sweats,chills,weight loss,,,
Tuberculosis,long lasting cough,fever,loss of appetite,,,
Tuberculosis,cough,weight loss,chest pain,,,
Tuberculosis,fever,night sweats,fatigue,loss of appetite,,
Tuberculosis,coughing blood,fever,chest pain,,,
Tuberculosis,chronic cough,weight loss,weakness,,,
Tuberculosis,persistent cough,loss of appetite,fever,night sweats,,
Tuberculosis,night sweats,weight loss,cough,chills,,
Tuberculosis,fever,chronic cough,fatigue,loss of appetite,,
Tuberculosis,cough with blood,weight loss,night sweats,,,
Tuberculosis,weakness,loss of appetite,night sweats,fever,,
Tuberculosis,chest pain,persistent cough,weight loss,,,
Tuberculosis,night sweats,fever,chills,fatigue,,
COVID-19,fever,dry cough,fatigue,,,
COVID-19,loss of taste or smell,fever,cough,,,
COVID-19,shortness of breath,chest pain,fatigue,,,
COVID-19,fever,headache,sore throat,,,
COVID-19,loss of smell,loss of taste,runny nose,,,
COVID-19,fever,cough,chills,body aches,,
COVID-19,dry cough,headache,fatigue,,,
COVID-19,shortness of breath,fatigue,fever,,,
COVID-19,loss of taste,loss of smell,cough,,,
COVID-19,fever,sore throat,runny nose,headache,,
COVID-19,body aches,fatigue,dry cough,,,
COVID-19,fever,diarrhea,nausea,vomiting,,
COVID-19,cough,shortness of breath,chest tightness,,,
COVID-19,fever,loss of smell,fatigue,,,
COVID-19,runny nose,sore throat,fever,cough,,
COVID-19,loss of taste,loss of smell,headache,,,
COVID-19,shortness of breath,fever,chills,,,
COVID-19,body aches,headache,fatigue,,,
COVID-19,cough,fever,fatigue,loss of smell,,
COVID-19,sore throat,runny nose,fever,cough,,
Pneumonia,fever,chills,cough with phlegm,shortness of breath,,
Pneumonia,chest pain,cough,fatigue,fever,,
Pneumonia,productive cough,breathing difficulty,fever,,,
Pneumonia,rapid breathing,bluish lips,chest pain,,,
Pneumonia,fever,cough,loss of appetite,fatigue,,
Pneumonia,wet cough,chills,sweating,shortness of breath,,
Pneumonia,fever,shaking chills,chest discomfort,,,
Pneumonia,dry cough,fever,breathing difficulty,,,
Pneumonia,chest pain when breathing,fever,cough,,,
Pneumonia,fever,sweating,cough,shortness of breath,,
Pneumonia,productive cough,loss of appetite,fatigue,,,
Pneumonia,fever,chest tightness,cough,,,
Pneumonia,shortness of breath,headache,fever,,,
Pneumonia,rapid heartbeat,cough with mucus,fever,,,
Pneumonia,wet cough,chills,tiredness,,,
Pneumonia,fever,chest pain,loss of appetite,,,
Pneumonia,cough with green sputum,fever,fatigue,,,
Pneumonia,fever,dry cough,shortness of breath,,,
Pneumonia,chills,body aches,cough,,,
Pneumonia,fever,sweating,chest pain,breathing difficulty,,
Bronchitis,cough with mucus,shortness of breath,chest discomfort,,,
Bronchitis,productive cough,fatigue,low fever,,,
Bronchitis,coughing fits,chest tightness,shortness of breath,,,
Bronchitis,wet cough,fever,body aches,,,
Bronchitis,cough lasting weeks,chest pain,fatigue,,,
Bronchitis,mucus producing cough,headache,low fever,,,
Bronchitis,chest tightness,wheezing,cough,,,
Bronchitis,cough,shortness of breath,fatigue,,,
Bronchitis,cough with yellow mucus,fever,headache,,,
Bronchitis,constant cough,chest pain,fatigue,,,
Bronchitis,low grade fever,body aches,cough,,,
Bronchitis,cough,wheezing,breathing difficulty,,,
Bronchitis,productive cough,headache,chest discomfort,,,
Bronchitis,fatigue,cough with green mucus,low fever,,,
Bronchitis,chest tightness,shortness of breath,body aches,,,
Bronchitis,wet cough,throat irritation,fever,,,
Bronchitis,cough at night,chest pain,fatigue,,,
Bronchitis,low fever,productive cough,headache,,,
Bronchitis,wheezing,shortness of breath,cough,,,
Bronchitis,cough with clear mucus,fatigue,low fever,,,
Sinusitis,facial pain,stuffy nose,headache,,,
Sinusitis,runny nose,congestion,pressure around eyes,,,
Sinusitis,headache,stuffy nose,loss of smell,,,
Sinusitis,facial swelling,stuffy nose,fever,,,
Sinusitis,congestion,post nasal drip,cough,,,
Sinusitis,facial pain,stuffy nose,tooth pain,,,
Sinusitis,runny nose,headache,pressure in forehead,,,
Sinusitis,stuffy nose,loss of smell,cough,,,
Sinusitis,post nasal drip,sore throat,headache,,,
Sinusitis,facial pressure,runny nose,fatigue,,,
Sinusitis,stuffy nose,toothache,fever,,,
Sinusitis,headache,facial pain,loss of smell,,,
Sinusitis,runny nose,post nasal drip,cough,,,
Sinusitis,stuffy nose,headache,facial swelling,,,
Sinusitis,fever,congestion,fatigue,,,
Sinusitis,facial pain,eye pressure,stuffy nose,,,
Sinusitis,loss of smell,runny nose,headache,,,
Sinusitis,stuffy nose,facial swelling,headache,,,
Sinusitis,pressure in cheeks,runny nose,fatigue,,,
Sinusitis,headache,stuffy nose,sore throat,,,
Pharyngitis,sore throat,fever,headache,,,
Pharyngitis,throat pain,difficulty swallowing,fever,,,
Pharyngitis,red throat,swollen tonsils,fever,,,
Pharyngitis,sore throat,runny nose,cough,,,
Pharyngitis,hoarse voice,fever,fatigue,,,
Pharyngitis,throat pain,white patches on tonsils,fever,,,
Pharyngitis,sore throat,loss of appetite,headache,,,
Pharyngitis,fever,chills,throat pain,,,
Pharyngitis,throat irritation,cough,runny nose,,,
Pharyngitis,swollen tonsils,fever,body aches,,,
Pharyngitis,sore throat,ear pain,fever,,,
Pharyngitis,red throat,fever,headache,,,
Pharyngitis,throat pain,hoarseness,fever,,,
Pharyngitis,fever,swollen lymph nodes,sore throat,,,
Pharyngitis,dry throat,cough,fever,,,
Pharyngitis,throat pain,fatigue,body aches,,,
Pharyngitis,sore throat,chills,loss of appetite,,,
Pharyngitis,throat pain,headache,swollen glands,,,
Pharyngitis,sore throat,runny nose,headache,,,
Pharyngitis,fever,red throat,body aches,,,
Gastroenteritis,diarrhea,nausea,vomiting,,,
Gastroenteritis,abdominal pain,watery stools,fever,,,
Gastroenteritis,diarrhea,stomach cramps,fatigue,,,
Gastroenteritis,vomiting,fever,abdominal pain,,,
Gastroenteritis,diarrhea,dehydration,loss of appetite,,,
Gastroenteritis,nausea,headache,fatigue,,,
Gastroenteritis,watery diarrhea,stomach cramps,fever,,,
Gastroenteritis,vomiting,diarrhea,abdominal pain,,,
Gastroenteritis,diarrhea,body aches,low fever,,,
Gastroenteritis,abdominal cramps,diarrhea,dehydration,,,
Gastroenteritis,nausea,fatigue,loss of appetite,,,
Gastroenteritis,vomiting,watery stools,abdominal pain,,,
Gastroenteritis,diarrhea,low grade fever,headache,,,
Gastroenteritis,stomach cramps,vomiting,fatigue,,,
Gastroenteritis,diarrhea,dehydration,fever,,,
Gastroenteritis,vomiting,nausea,headache,,,
Gastroenteritis,watery diarrhea,loss of appetite,abdominal pain,,,
Gastroenteritis,stomach cramps,diarrhea,chills,,,
Gastroenteritis,nausea,vomiting,fever,,,
Gastroenteritis,diarrhea,stomach pain,fatigue,,,
Food Poisoning,nausea,vomiting,diarrhea,,,
Food Poisoning,stomach cramps,watery stools,fever,,,
Food Poisoning,vomiting,abdominal pain,fatigue,,,
Food Poisoning,diarrhea,dehydration,loss of appetite,,,
Food Poisoning,nausea,headache,fever,,,
Food Poisoning,vomiting,stomach cramps,chills,,,
Food Poisoning,diarrhea,fever,body aches,,,
Food Poisoning,abdominal pain,watery diarrhea,dehydration,,,
Food Poisoning,nausea,vomiting,stomach pain,,,
Food Poisoning,diarrhea,loss of appetite,fatigue,,,
Food Poisoning,vomiting,low grade fever,headache,,,
Food Poisoning,stomach cramps,diarrhea,fever,,,
Food Poisoning,nausea,chills,body aches,,,
Food Poisoning,watery diarrhea,vomiting,abdominal cramps,,,
Food Poisoning,stomach pain,loss of appetite,fatigue,,,
Food Poisoning,diarrhea,headache,dehydration,,,
Food Poisoning,nausea,vomiting,chills,,,
Food Poisoning,abdominal pain,watery stools,low fever,,,
Food Poisoning,diarrhea,vomiting,fatigue,,,
Food Poisoning,nausea,stomach cramps,loss of appetite,,,
Hepatitis A,fatigue,loss of appetite,fever,,,
Hepatitis A,nausea,vomiting,abdominal pain,,,
Hepatitis A,dark urine,jaundice,fatigue,,,
Hepatitis A,clay colored stool,abdominal discomfort,fever,,,
Hepatitis A,fatigue,loss of appetite,jaundice,,,
Hepatitis A,stomach pain,nausea,headache,,,
Hepatitis A,fever,body aches,fatigue,,,
Hepatitis A,jaundice,dark urine,loss of appetite,,,
Hepatitis A,abdominal pain,vomiting,fever,,,
Hepatitis A,fatigue,chills,jaundice,,,
Hepatitis A,loss of appetite,abdominal cramps,fever,,,
Hepatitis A,nausea,diarrhea,stomach pain,,,
Hepatitis A,jaundice,fatigue,clay colored stool,,,
Hepatitis A,fever,vomiting,headache,,,
Hepatitis A,abdominal discomfort,fatigue,loss of appetite,,,
Hepatitis A,dark urine,jaundice,fever,,,
Hepatitis A,stomach cramps,nausea,fatigue,,,
Hepatitis A,body aches,loss of appetite,fever,,,
Hepatitis A,jaundice,fatigue,abdominal pain,,,
Hepatitis A,loss of appetite,fever,nausea,,,
Hepatitis B,fatigue,loss of appetite,fever,,,
Hepatitis B,jaundice,dark urine,abdominal pain,,,
Hepatitis B,clay colored stool,fatigue,loss of appetite,,,
Hepatitis B,stomach pain,nausea,headache,,,
Hepatitis B,fever,body aches,fatigue,,,
Hepatitis B,jaundice,loss of appetite,fatigue,,,
Hepatitis B,dark urine,abdominal cramps,fever,,,
Hepatitis B,abdominal discomfort,nausea,fatigue,,,
Hepatitis B,fever,loss of appetite,headache,,,
Hepatitis B,jaundice,fatigue,abdominal pain,,,
Hepatitis B,fatigue,chills,loss of appetite,,,
Hepatitis B,loss of appetite,stomach cramps,fever,,,
Hepatitis B,nausea,vomiting,abdominal pain,,,
Hepatitis B,jaundice,dark urine,fatigue,,,
Hepatitis B,fever,fatigue,loss of appetite,,,
Hepatitis B,abdominal pain,loss of appetite,headache,,,
Hepatitis B,fatigue,body aches,low fever,,,
Hepatitis B,dark urine,jaundice,fever,,,
Hepatitis B,loss of appetite,fatigue,stomach pain,,,
Hepatitis B,jaundice,clay colored stool,abdominal pain,,,
Hepatitis C,fatigue,loss of appetite,fever,,,
Hepatitis C,jaundice,dark urine,abdominal pain,,,
Hepatitis C,stomach pain,nausea,headache,,,
Hepatitis C,fatigue,body aches,fever,,,
Hepatitis C,jaundice,clay colored stool,fatigue,,,
Hepatitis C,loss of appetite,abdominal discomfort,fever,,,
Hepatitis C,dark urine,jaundice,loss of appetite,,,
Hepatitis C,nausea,stomach cramps,fatigue,,,
Hepatitis C,fatigue,chills,loss of appetite,,,
Hepatitis C,fever,abdominal pain,headache,,,
Hepatitis C,jaundice,fatigue,loss of appetite,,,
Hepatitis C,stomach pain,vomiting,fever,,,
Hepatitis C,loss of appetite,fatigue,body aches,,,
Hepatitis C,abdominal cramps,nausea,fever,,,
Hepatitis C,fatigue,jaundice,dark urine,,,
Hepatitis C,loss of appetite,stomach discomfort,fever,,,
Hepatitis C,fatigue,fever,body aches,,,
Hepatitis C,jaundice,loss of appetite,fatigue,,,
Hepatitis C,fever,stomach cramps,headache,,,
Hepatitis C,abdominal pain,jaundice,dark urine,,,
HIV/AIDS,fever,fatigue,swollen lymph nodes,,,
HIV/AIDS,night sweats,weight loss,fever,,,
HIV/AIDS,diarrhea,loss of appetite,fatigue,,,
HIV/AIDS,skin rash,fever,body aches,,,
HIV/AIDS,headache,fatigue,swollen glands,,,
HIV/AIDS,oral thrush,weight loss,fever,,,
HIV/AIDS,chronic diarrhea,night sweats,fatigue,,,
HIV/AIDS,fever,chills,swollen lymph nodes,,,
HIV/AIDS,skin infections,fatigue,weight loss,,,
HIV/AIDS,night sweats,loss of appetite,fever,,,
HIV/AIDS,fatigue,oral ulcers,fever,,,
HIV/AIDS,chronic cough,weight loss,fever,,,
HIV/AIDS,diarrhea,headache,fatigue,,,
HIV/AIDS,night sweats,skin rash,weight loss,,,
HIV/AIDS,fever,swollen glands,body aches,,,
HIV/AIDS,fatigue,chills,weight loss,,,
HIV/AIDS,loss of appetite,night sweats,fever,,,
HIV/AIDS,oral thrush,headache,fatigue,,,
HIV/AIDS,weight loss,fever,fatigue,,,
HIV/AIDS,skin rash,swollen lymph nodes,fever,,,
Asthma,shortness of breath,wheezing,cough,,,
Asthma,chest tightness,cough,breathing difficulty,,,
Asthma,wheezing,night cough,shortness of breath,,,
Asthma,chest pain,wheezing,breathing trouble,,,
