Disease,Symptom,Weight
Gastroenteritis,Tiredness,0.6
Gastroenteritis,Loss of appetite,0.5
Gastroenteritis,Headache,0.5
Gastroenteritis,"Dehydration (dry mouth, dizziness)",0.9
Food Poisoning,Nausea and vomiting,0.9
Food Poisoning,Diarrhea,0.9
Food Poisoning,Stomach cramps,0.9
Food Poisoning,Fever,0.6
Food Poisoning,Headache,0.5
Food Poisoning,Weakness,0.6
Food Poisoning,"Dehydration (dry mouth, dizziness)",0.8
Hepatitis A,Fatigue,0.8
Hepatitis A,Sudden nausea and vomiting,0.7
Hepatitis A,Stomach pain (right side),0.8
Hepatitis A,Loss of appetite,0.6
Hepatitis A,Low-grade fever,0.6
Hepatitis A,Dark-colored urine,0.9
Hepatitis A,Yellowing of skin or eyes (jaundice),1
Hepatitis B,Fatigue,0.8
Hepatitis B,Fever,0.6
Hepatitis B,Loss of appetite,0.6
Hepatitis B,Nausea and vomiting,0.7
Hepatitis B,Stomach pain (right side),0.8
Hepatitis B,Dark-colored urine,0.9
Hepatitis B,Yellowing of skin or eyes (jaundice),1
Hepatitis B,Joint pain,0.7
Hepatitis C,Fatigue,0.8
Hepatitis C,Fever,0.6
Hepatitis C,Nausea,0.6
Hepatitis C,Loss of appetite,0.6
Hepatitis C,Stomach pain,0.7
Hepatitis C,Dark-colored urine,0.9
Hepatitis C,Yellowing of skin or eyes (jaundice),1
Hepatitis C,Joint pain,0.7
HIV/AIDS,Fever,0.6
HIV/AIDS,Night sweats,0.8
HIV/AIDS,Swollen lymph nodes,0.8
HIV/AIDS,Rapid weight loss,0.9
HIV/AIDS,Extreme tiredness,0.9
HIV/AIDS,Long-lasting diarrhea,0.8
HIV/AIDS,Recurring skin rashes,0.7
HIV/AIDS,Frequent infections,0.9
HIV/AIDS,Memory loss or confusion (advanced),0.8
Asthma,Shortness of breath,0.9
Asthma,Wheezing,1
Asthma,Chest tightness,0.9
Asthma,Coughing (especially at night),0.8
Asthma,Fatigue,0.6
Asthma,Rapid breathing,0.8
Asthma,Difficulty sleeping due to symptoms,0.7
Chronic Obstructive Pulmonary Disease (COPD),Chronic cough,0.9
Chronic Obstructive Pulmonary Disease (COPD),Cough with mucus,0.9
Chronic Obstructive Pulmonary Disease (COPD),Shortness of breath (worse on exertion),1
Chronic Obstructive Pulmonary Disease (COPD),Wheezing,0.8
Chronic Obstructive Pulmonary Disease (COPD),Chest tightness,0.8
Chronic Obstructive Pulmonary Disease (COPD),Frequent respiratory infections,0.8
Chronic Obstructive Pulmonary Disease (COPD),Fatigue,0.7
Chronic Obstructive Pulmonary Disease (COPD),Weight loss (advanced),0.7
Allergic Rhinitis,Sneezing,0.9
Allergic Rhinitis,Runny or stuffy nose,1
Allergic Rhinitis,Itchy eyes/nose/throat,0.9
Allergic Rhinitis,Watery eyes,0.8
Allergic Rhinitis,Cough,0.6
Allergic Rhinitis,Postnasal drip,0.7
Allergic Rhinitis,Fatigue,0.6
Seasonal Allergies,Sneezing,0.9
Seasonal Allergies,Runny or congested nose,0.9
Seasonal Allergies,Itchy/watery eyes,0.9
Seasonal Allergies,Throat irritation,0.7
Seasonal Allergies,Cough,0.6
Seasonal Allergies,Headache,0.6
Seasonal Allergies,Fatigue,0.6
Acute Respiratory Distress,Severe shortness of breath,1
Acute Respiratory Distress,Rapid breathing,0.9
Acute Respiratory Distress,Low oxygen levels (hypoxemia),1
Acute Respiratory Distress,Confusion or extreme fatigue,0.9
Acute Respiratory Distress,Blue lips or fingertips (cyanosis),1
Acute Respiratory Distress,Cough,0.7
Acute Respiratory Distress,Chest pain,0.8
Whooping Cough (Pertussis),Severe coughing fits,1
Whooping Cough (Pertussis),"High-pitched ""whoop"" sound after coughing",1
Whooping Cough (Pertussis),Vomiting after coughing,0.9
Whooping Cough (Pertussis),Runny nose,0.7
Whooping Cough (Pertussis),Low-grade fever,0.6
Whooping Cough (Pertussis),Exhaustion after coughing,0.8
Whooping Cough (Pertussis),Apnea (in infants),0.9
Tonsillitis,Sore throat,1
Tonsillitis,Swollen tonsils,0.9
Tonsillitis,White or yellow coating on tonsils,0.9
Tonsillitis,Painful swallowing,0.9
Tonsillitis,Fever,0.8
Tonsillitis,Swollen neck lymph nodes,0.8
Tonsillitis,Bad breath,0.6
Tonsillitis,Headache,0.6
Laryngitis,Hoarseness or loss of voice,1
Laryngitis,Throat pain or irritation,0.8
Laryngitis,Dry cough,0.8
Laryngitis,Sore throat,0.7
Laryngitis,Tickling sensation in throat,0.7
Laryngitis,Fever (sometimes),0.5
Laryngitis,Swollen vocal cords,0.9
Pleurisy,Sharp chest pain (worse with breathing/coughing),1
Pleurisy,Dry cough,0.7
Pleurisy,Shortness of breath,0.8
Pleurisy,Fever,0.6
Pleurisy,Rapid breathing,0.8
Pleurisy,Shoulder/back pain,0.7
Pulmonary Embolism,Sudden shortness of breath,1
Pulmonary Embolism,Sharp chest pain (worse on deep breaths),1
Pulmonary Embolism,Rapid heartbeat,0.9
Pulmonary Embolism,Cough (may produce blood),0.9
Pulmonary Embolism,Dizziness or fainting,0.8
Pulmonary Embolism,Low blood pressure,0.8
Pulmonary Embolism,Anxiety,0.6
Pulmonary Embolism,Swelling in one leg (clot source),0.8
Gastritis,Upper abdominal pain/discomfort,1
Gastritis,Nausea,0.9
Gastritis,Vomiting,0.8
Gastritis,Bloating,0.8
Gastritis,Loss of appetite,0.7
Gastritis,Belching,0.7
Gastritis,Indigestion,0.8
Gastritis,Black/tarry stools (bleeding),0.9
Peptic Ulcer,Burning stomach pain (worse when empty),1
Peptic Ulcer,Indigestion,0.8
Peptic Ulcer,Bloating,0.7
Peptic Ulcer,Heartburn,0.8
Peptic Ulcer,Nausea,0.8
Peptic Ulcer,Dark stools (bleeding),0.9
Peptic Ulcer,Vomiting blood,0.9
Peptic Ulcer,Unexplained weight loss,0.7
Acid Reflux (GERD),Heartburn,1
Acid Reflux (GERD),Regurgitation of food/sour liquid,0.9
Acid Reflux (GERD),Chest pain (burning),0.9
Acid Reflux (GERD),Difficulty swallowing,0.8
Acid Reflux (GERD),Chronic cough,0.7
Acid Reflux (GERD),Hoarseness/sore throat,0.8
Acid Reflux (GERD),Feeling of lump in throat,0.7
Acid Reflux (GERD),Worsening symptoms at night,0.8
Irritable Bowel Syndrome (IBS),Abdominal pain/cramping (relieved by passing stool),1
Irritable Bowel Syndrome (IBS),Bloating,0.9
Irritable Bowel Syndrome (IBS),Gas,0.8
Irritable Bowel Syndrome (IBS),Diarrhea,0.9
Irritable Bowel Syndrome (IBS),Constipation,0.9
Irritable Bowel Syndrome (IBS),Mucus in stool,0.7
Irritable Bowel Syndrome (IBS),Urgency to defecate,0.8
Irritable Bowel Syndrome (IBS),Incomplete bowel movement,0.8
Constipation,Hard/dry stools,1
Constipation,Straining during bowel movements,0.9
Constipation,Fewer than 3 bowel movements/week,0.9
Constipation,Abdominal pain,0.8
Constipation,Bloating,0.8
Constipation,Sensation of incomplete evacuation,0.8
Constipation,Nausea,0.6
Diarrhea,Frequent loose/watery stools,1
Diarrhea,Abdominal cramps,0.9
Diarrhea,Bloating,0.8
Diarrhea,Dehydration,0.9
Diarrhea,Nausea,0.8
Diarrhea,Fever (sometimes),0.6
Diarrhea,Urgency to defecate,0.9
Diarrhea,Blood/mucus in stool (severe cases),0.9
Appendicitis,"Severe abdominal pain (starting near navel, shifting to lower right)",1
Appendicitis,Loss of appetite,0.9
Appendicitis,Nausea,0.9
Appendicitis,Vomiting,0.8
Appendicitis,Fever,0.8
Appendicitis,Abdominal swelling,0.8
Appendicitis,Constipation or diarrhea,0.7
Appendicitis,Pain worsening with movement/cough,0.9
Gallstones,Sudden intense abdominal pain (right upper side),1
Gallstones,Pain spreading to right shoulder/back,0.9
Gallstones,Nausea,0.8
Gallstones,Vomiting,0.8
Gallstones,Indigestion,0.7
Gallstones,Bloating,0.7
Gallstones,Fever/chills (if infection),0.9
Gallstones,Jaundice (yellow skin/eyes),0.9
Liver Cirrhosis,Fatigue,0.9
Liver Cirrhosis,Loss of appetite,0.8
Liver Cirrhosis,Nausea,0.7
Liver Cirrhosis,Weight loss,0.8
Liver Cirrhosis,Jaundice,1
Liver Cirrhosis,Swelling in legs/ankles (edema),0.9
Liver Cirrhosis,Abdominal swelling (ascites),0.9
Liver Cirrhosis,Easy bruising/bleeding,0.9
Liver Cirrhosis,Confusion/drowsiness (hepatic encephalopathy),0.8
Pancreatitis,Severe abdominal pain (radiating to back),1
Pancreatitis,Nausea,0.9
Pancreatitis,Vomiting,0.9
Pancreatitis,Fever,0.8
Pancreatitis,Swollen/tender abdomen,0.8
Pancreatitis,Increased heart rate,0.8
Pancreatitis,Oily/foul-smelling stools,0.9
Pancreatitis,Weight loss,0.7
Hypertension (High BP),Headache,0.8
Hypertension (High BP),Dizziness,0.7
Hypertension (High BP),Blurred vision,0.8
Hypertension (High BP),Chest pain,0.9
Hypertension (High BP),Shortness of breath,0.9
Hypertension (High BP),Nosebleeds,0.7
Hypertension (High BP),Fatigue,0.8
Hypertension (High BP),Irregular heartbeat,0.8
Hypotension (Low BP),Dizziness,1
Hypotension (Low BP),Fainting (syncope),0.9
Hypotension (Low BP),Blurred vision,0.8
Hypotension (Low BP),Nausea,0.7
Hypotension (Low BP),Fatigue,0.8
Hypotension (Low BP),Confusion,0.8
Hypotension (Low BP),Cold/clammy skin,0.8
Hypotension (Low BP),Rapid shallow breathing,0.8
Coronary Artery Disease,Chest pain (angina),1
Coronary Artery Disease,Shortness of breath,0.9
Coronary Artery Disease,Fatigue,0.9
Coronary Artery Disease,Palpitations,0.8
Coronary Artery Disease,Nausea,0.7
Coronary Artery Disease,Sweating,0.8
Coronary Artery Disease,Neck/jaw/arm pain,0.9
Coronary Artery Disease,Swelling in legs/feet,0.8
Angina,Chest pain/pressure (triggered by exertion),1
Angina,Pain radiating to arm/neck/jaw,0.9
Angina,Shortness of breath,0.9
Angina,Nausea,0.8
Angina,Fatigue,0.8
Angina,Sweating,0.8
Angina,Dizziness,0.7
Angina,Relief with rest or nitroglycerin,0.9
Heart Attack (Myocardial Infarction),Severe chest pain/pressure,1
Heart Attack (Myocardial Infarction),Pain radiating to arm/neck/back,0.9
Heart Attack (Myocardial Infarction),Shortness of breath,0.9
Heart Attack (Myocardial Infarction),Nausea,0.8
Heart Attack (Myocardial Infarction),Vomiting,0.8
Heart Attack (Myocardial Infarction),"Sweating (cold, clammy)",0.9
Heart Attack (Myocardial Infarction),Fatigue/weakness,0.8
Heart Attack (Myocardial Infarction),Anxiety/impending doom,0.8
Stroke,"Sudden numbness/weakness (face/arm/leg, usually one side)",1
Stroke,Slurred speech/difficulty speaking,0.9
Stroke,Confusion,0.9
Stroke,Sudden vision problems,0.9
Stroke,Severe headache,0.9
Stroke,Dizziness/loss of balance,0.8
Stroke,Difficulty walking,0.8
Stroke,Loss of coordination,0.8
Arrhythmia,Palpitations (irregular heartbeat),1
Arrhythmia,Dizziness,0.9
Arrhythmia,Fainting (syncope),0.9
Arrhythmia,Shortness of breath,0.9
Arrhythmia,Chest pain/discomfort,0.9
Arrhythmia,Fatigue,0.8
Arrhythmia,Anxiety,0.7
Arrhythmia,Fluttering sensation in chest,0.9
Congestive Heart Failure,Shortness of breath (especially at night),1
Congestive Heart Failure,Fatigue/weakness,0.9
Congestive Heart Failure,Swelling in legs/ankles/feet,0.9
Congestive Heart Failure,Rapid/irregular heartbeat,0.9
Congestive Heart Failure,Persistent cough/wheezing (pink frothy sputum),0.9
Congestive Heart Failure,Abdominal swelling,0.8
Congestive Heart Failure,Weight gain from fluid retention,0.8
Congestive Heart Failure,Difficulty concentrating,0.7
Atherosclerosis,Chest pain (angina),1
Atherosclerosis,Shortness of breath,0.9
Atherosclerosis,Fatigue,0.8
Atherosclerosis,Numbness/weakness in limbs,0.9
Atherosclerosis,Difficulty speaking (if brain arteries affected),0.9
Atherosclerosis,High blood pressure,0.8
Atherosclerosis,Poor wound healing,0.8
Atherosclerosis,Cold hands/feet,0.8
Peripheral Artery Disease,Leg pain/cramping when walking (claudication),1
Peripheral Artery Disease,Numbness/weakness in legs,0.9
Peripheral Artery Disease,Coldness in lower leg/foot,0.9
Peripheral Artery Disease,Poor wound healing in legs/feet,0.9
Peripheral Artery Disease,Skin color changes in legs,0.8
Peripheral Artery Disease,Weak pulse in legs/feet,0.9
Peripheral Artery Disease,Shiny skin or hair loss on legs,0.8
Peripheral Artery Disease,Leg sores/gangrene (severe cases),0.9
Migraine,Severe throbbing headache (often one side),1
Migraine,Nausea,0.9
Migraine,Vomiting,0.8
Migraine,Sensitivity to light (photophobia),0.9
Migraine,Sensitivity to sound (phonophobia),0.9
Migraine,Visual disturbances (aura),0.9
Migraine,Fatigue,0.8
Migraine,Dizziness,0.8
Tension Headache,Dull aching head pain,1
Tension Headache,Tightness/pressure around forehead or scalp,0.9
Tension Headache,Tenderness in neck/shoulder muscles,0.9
Tension Headache,Fatigue,0.8
Tension Headache,Difficulty concentrating,0.8
Tension Headache,Insomnia,0.7
Tension Headache,Scalp sensitivity,0.8
Tension Headache,Stress-related worsening,0.8
Cluster Headache,Severe burning/stabbing pain (around one eye),1
Cluster Headache,Red/watery eye on affected side,0.9
Cluster Headache,Nasal congestion/runny nose (same side),0.9
Cluster Headache,Restlessness/agitation,0.9
Cluster Headache,Drooping eyelid (ptosis),0.9
Cluster Headache,Facial sweating,0.8
Cluster Headache,Pale/flushed face,0.8
Cluster Headache,Occurs in cyclical patterns,0.8
Epilepsy,Recurrent seizures,1
Epilepsy,Temporary confusion,0.9
Epilepsy,Staring spells,0.9
Epilepsy,Uncontrollable jerking movements,0.9
Epilepsy,Loss of consciousness/awareness,0.9
Epilepsy,Fear/anxiety before seizure (aura),0.8
Epilepsy,Fatigue after seizures,0.8
Epilepsy,Unusual sensations (smells/tastes),0.8
Alzheimer’s Disease,Memory loss,1
Alzheimer’s Disease,Confusion with time/place,0.9
Alzheimer’s Disease,Difficulty completing familiar tasks,0.9
Alzheimer’s Disease,Language problems (speaking/writing),0.9
Alzheimer’s Disease,Poor judgment/decision making,0.9
Alzheimer’s Disease,Mood/behavior changes,0.8
Alzheimer’s Disease,Withdrawal from work/social activities,0.8
Alzheimer’s Disease,Disorientation,0.9
Parkinson’s Disease,Tremors (shaking hands/fingers),1
Parkinson’s Disease,Slowed movement (bradykinesia),0.9
Parkinson’s Disease,Muscle stiffness,0.9
Parkinson’s Disease,Impaired posture/balance,0.9
Parkinson’s Disease,Speech changes (soft/slurred),0.8
Parkinson’s Disease,Writing changes (small handwriting),0.8
Parkinson’s Disease,Facial masking (reduced expressions),0.8
Parkinson’s Disease,Fatigue,0.8
Stroke (Ischemic),Sudden numbness/weakness (one side of body),1
Stroke (Ischemic),Slurred speech/difficulty speaking,0.9
Stroke (Ischemic),Sudden vision problems,0.9
Stroke (Ischemic),Severe headache,0.9
Stroke (Ischemic),Confusion,0.9
Stroke (Ischemic),Dizziness/loss of balance,0.8
Stroke (Ischemic),Difficulty walking,0.8
Stroke (Ischemic),Loss of coordination,0.8
Stroke (Hemorrhagic),Sudden severe headache (“worst ever”),1
Stroke (Hemorrhagic),Nausea/vomiting,0.9
Stroke (Hemorrhagic),Loss of consciousness,0.9
Stroke (Hemorrhagic),Weakness/numbness on one side,0.9
Stroke (Hemorrhagic),Vision problems,0.9
Stroke (Hemorrhagic),Difficulty speaking,0.9
Stroke (Hemorrhagic),Seizures,0.8
Stroke (Hemorrhagic),Neck stiffness,0.8
Brain Tumor,Headaches (worse in morning),1
Brain Tumor,Nausea/vomiting,0.9
Brain Tumor,Seizures,0.9
Brain Tumor,Vision problems (blurred/double vision),0.9
Brain Tumor,Speech difficulties,0.9
Brain Tumor,Balance/coordination issues,0.9
Brain Tumor,Personality/mood changes,0.8
Brain Tumor,Memory problems,0.8
Multiple Sclerosis,Vision problems (blurred/double vision),1
Multiple Sclerosis,Numbness/tingling in limbs,0.9
Multiple Sclerosis,Weakness in muscles,0.9
Multiple Sclerosis,Loss of coordination/balance,0.9
Multiple Sclerosis,Fatigue,0.9
Multiple Sclerosis,Bladder/bowel dysfunction,0.8
Multiple Sclerosis,Slurred speech,0.8
Multiple Sclerosis,Cognitive impairment,0.8
Diabetes Mellitus Type 1,Frequent urination (polyuria),1
Diabetes Mellitus Type 1,Excessive thirst (polydipsia),0.9
Diabetes Mellitus Type 1,Increased hunger (polyphagia),0.9
Diabetes Mellitus Type 1,Unexplained weight loss,0.9
Diabetes Mellitus Type 1,Fatigue,0.8
Diabetes Mellitus Type 1,Blurred vision,0.9
Diabetes Mellitus Type 1,Slow wound healing,0.8
Diabetes Mellitus Type 1,Frequent infections,0.8
Diabetes Mellitus Type 2,Increased thirst,1
Diabetes Mellitus Type 2,Frequent urination,0.9
Diabetes Mellitus Type 2,Increased hunger,0.9
Diabetes Mellitus Type 2,Fatigue,0.9
Diabetes Mellitus Type 2,Blurred vision,0.9
Diabetes Mellitus Type 2,Slow wound healing,0.8
Diabetes Mellitus Type 2,Frequent infections,0.8
Diabetes Mellitus Type 2,Numbness/tingling in hands or feet,0.9
Hypoglycemia,Shakiness/trembling,1
Hypoglycemia,Sweating,0.9
Hypoglycemia,Hunger,0.9
Hypoglycemia,Confusion/irritability,0.9
Hypoglycemia,Dizziness,0.9
Hypoglycemia,Palpitations (rapid heartbeat),0.9
Hypoglycemia,Blurred vision,0.8
Hypoglycemia,Loss of consciousness/seizures (severe),0.8
Hyperthyroidism,Unintentional weight loss,1
Hyperthyroidism,Increased appetite,0.9
Hyperthyroidism,Heat intolerance,0.9
Hyperthyroidism,Excessive sweating,0.9
Hyperthyroidism,Rapid/irregular heartbeat,0.9
Hyperthyroidism,Anxiety/irritability,0.9
Hyperthyroidism,Tremors (hands/fingers),0.9
Hyperthyroidism,Goiter (enlarged thyroid),0.8
Hypothyroidism,Fatigue,1
Hypothyroidism,Weight gain,0.9
Hypothyroidism,Cold intolerance,0.9
Hypothyroidism,Dry skin,0.9
Hypothyroidism,Constipation,0.9
Hypothyroidism,Hair thinning/hair loss,0.8
Hypothyroidism,Depression,0.8
Hypothyroidism,Slow heart rate (bradycardia),0.8
Goiter,Visible swelling at base of neck,1
Goiter,Tight feeling in throat,0.9
Goiter,Coughing/hoarseness,0.9
Goiter,Difficulty swallowing,0.9
Goiter,Difficulty breathing (large goiter),0.9
Goiter,Neck tenderness,0.8
Goiter,Neck pressure,0.8
Goiter,Enlarged thyroid gland,0.9
Obesity,Excess body fat accumulation,1
Obesity,Breathlessness with exertion,0.9
Obesity,Sleep apnea/snoring,0.9
Obesity,Fatigue,0.8
Obesity,Joint pain (knees/hips),0.9
Obesity,Skin folds infections,0.8
Obesity,Low self-esteem/depression,0.8
Obesity,Increased sweating,0.8
Polycystic Ovary Syndrome (PCOS),Irregular/absent periods,1
Polycystic Ovary Syndrome (PCOS),Excess hair growth (hirsutism),0.9
Polycystic Ovary Syndrome (PCOS),Acne/oily skin,0.9
Polycystic Ovary Syndrome (PCOS),Weight gain/obesity,0.9
Polycystic Ovary Syndrome (PCOS),Thinning hair on scalp,0.8
Polycystic Ovary Syndrome (PCOS),Difficulty getting pregnant (infertility),0.9
Polycystic Ovary Syndrome (PCOS),Darkened skin patches (acanthosis nigricans),0.8
Polycystic Ovary Syndrome (PCOS),Mood changes,0.8
Addison’s Disease,Fatigue,1
Addison’s Disease,Weight loss,0.9
Addison’s Disease,Low blood pressure (hypotension),0.9
Addison’s Disease,Darkening of skin (hyperpigmentation),0.9
Addison’s Disease,Craving for salty foods,0.8
Addison’s Disease,Nausea/vomiting,0.9
Addison’s Disease,Abdominal pain,0.9
Addison’s Disease,Muscle/joint pain,0.8
Cushing’s Syndrome,Weight gain (especially face/trunk),1
Cushing’s Syndrome,Moon face (rounded face),0.9
Cushing’s Syndrome,Buffalo hump (fat on upper back),0.9
Cushing’s Syndrome,Purple stretch marks (striae),0.9
Cushing’s Syndrome,Thinning fragile skin,0.9
Cushing’s Syndrome,Easy bruising,0.9
Cushing’s Syndrome,Muscle weakness,0.9
Cushing’s Syndrome,High blood pressure,0.9
Arthritis (Osteoarthritis),Joint pain (worsens with activity),1
Arthritis (Osteoarthritis),Joint stiffness (especially morning),0.9
Arthritis (Osteoarthritis),Loss of flexibility,0.9
Arthritis (Osteoarthritis),Grating/cracking sound in joint (crepitus),0.9
Arthritis (Osteoarthritis),Joint swelling,0.8
Arthritis (Osteoarthritis),Tenderness around joint,0.8
Arthritis (Osteoarthritis),Bony growths (osteophytes),0.8
Arthritis (Osteoarthritis),Decreased range of motion,0.9
Rheumatoid Arthritis,Joint pain (symmetrical),1
Rheumatoid Arthritis,Joint stiffness (worse in morning),0.9
Rheumatoid Arthritis,Swollen/tender joints,0.9
Rheumatoid Arthritis,Fatigue,0.9
Rheumatoid Arthritis,Fever (low-grade),0.8
Rheumatoid Arthritis,Loss of appetite,0.8
Rheumatoid Arthritis,Joint deformity (late stage),0.9
Rheumatoid Arthritis,Nodules under skin,0.8
Gout,Sudden severe joint pain (often big toe),1
Gout,Redness/warmth at joint,0.9
Gout,Swelling in affected joint,0.9
Gout,Tenderness to touch,0.9
Gout,Limited range of motion,0.8
Gout,Recurrent flare-ups,0.9
Gout,"Tophi (urate crystal lumps, chronic cases)",0.8
Gout,Night-time pain attacks,0.8
Osteoporosis,Bone fractures (minimal trauma),1
Osteoporosis,Back pain (from fractured vertebra),0.9
Osteoporosis,Loss of height over time,0.9
Osteoporosis,Stooped posture (kyphosis),0.9
Osteoporosis,Weak/brittle bones,0.9
Osteoporosis,Reduced bone density (diagnostic hallmark),0.9
Osteoporosis,Decreased mobility,0.8
Osteoporosis,Increased fracture risk (hip/wrist/spine),0.9
Back Pain,Persistent lower/middle/upper back pain,1
Back Pain,Stiffness in back,0.9
Back Pain,Muscle spasms,0.9
Back Pain,Pain radiating to buttocks/thighs,0.8
Back Pain,Worsens with movement/lifting,0.9
Back Pain,Improves with rest,0.8
Back Pain,Limited flexibility,0.9
Back Pain,Tenderness along spine,0.8
Sciatica,Shooting pain from lower back to leg,1
Sciatica,Numbness in leg/foot,0.9
Sciatica,Tingling sensation,0.9
Sciatica,Weakness in leg/foot,0.9
Sciatica,Pain worsens with sitting/coughing,0.9
Sciatica,One-sided leg pain,0.9
Sciatica,Burning sensation in affected area,0.8
Sciatica,Difficulty moving leg/foot,0.8
Spondylitis,Chronic back pain/stiffness,1
Spondylitis,Reduced flexibility (spine),0.9
Spondylitis,Pain worse in morning/improves with activity,0.9
Spondylitis,Hip/shoulder pain,0.9
Spondylitis,Fatigue,0.8
Spondylitis,Stooped posture,0.9
Spondylitis,Limited chest expansion,0.9
Spondylitis,Inflammation at tendon/ligament sites,0.8
Fibromyalgia,Widespread body pain,1
Fibromyalgia,Fatigue,0.9
Fibromyalgia,Sleep disturbances,0.9
Fibromyalgia,Memory/concentration issues (“fibro fog”),0.9
Fibromyalgia,Tender points on body,0.9
Fibromyalgia,Headaches,0.8
Fibromyalgia,Depression/anxiety,0.8
Fibromyalgia,Stiffness in morning,0.9
Muscle Cramps,Sudden sharp muscle pain,1
Muscle Cramps,Visible muscle knot/hardening,0.9
Muscle Cramps,Involuntary muscle contractions,0.9
Muscle Cramps,Pain lasting seconds to minutes,0.9
Muscle Cramps,Stiffness in affected muscle,0.8
Muscle Cramps,Occur during rest or exercise,0.9
Muscle Cramps,Temporary immobility,0.8
Muscle Cramps,Muscle soreness after cramp,0.8
Tendinitis,Pain at tendon site (worse with movement),1
Tendinitis,Swelling at tendon,0.9
Tendinitis,Tenderness along tendon,0.9
Tendinitis,Stiffness (especially morning),0.9
Tendinitis,Reduced range of motion,0.9
Tendinitis,Crepitus (grating feeling),0.8
